antecedents,consequents,support,confidence,lift
grade_A,"term_ 36 months, installment_bin_Low, int_rate_bin_Very Low (<8%)",0.056,0.292,5.214
grade_A,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.095,0.498,5.213
grade_A,"loan_status_Current, int_rate_bin_Very Low (<8%)",0.076,0.396,5.213
"dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",grade_A,0.077,0.999,5.213
"loan_status_Current, int_rate_bin_Very Low (<8%)",grade_A,0.076,0.998,5.213
"installment_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.053,0.999,5.213
grade_A,"installment_bin_High, int_rate_bin_Very Low (<8%)",0.053,0.275,5.213
"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.095,0.999,5.213
grade_A,"dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",0.077,0.404,5.213
grade_A,"int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.087,0.452,5.212
grade_A,int_rate_bin_Very Low (<8%),0.169,0.881,5.212
"grade_A, installment_bin_Low",int_rate_bin_Very Low (<8%),0.058,0.881,5.212
int_rate_bin_Very Low (<8%),"grade_A, installment_bin_Low",0.058,0.342,5.212
int_rate_bin_Very Low (<8%),grade_A,0.169,0.998,5.212
grade_A,"int_rate_bin_Very Low (<8%), installment_bin_Medium",0.058,0.304,5.212
grade_A,"home_ownership_RENT, term_ 36 months, int_rate_bin_Very Low (<8%)",0.052,0.274,5.212
grade_A,"installment_bin_Low, int_rate_bin_Very Low (<8%)",0.058,0.302,5.211
grade_A,"home_ownership_RENT, int_rate_bin_Very Low (<8%)",0.054,0.282,5.208
int_rate_bin_Very Low (<8%),"grade_A, installment_bin_Medium",0.058,0.344,5.205
int_rate_bin_Very Low (<8%),"grade_A, loan_status_Current",0.076,0.448,5.184
int_rate_bin_Very Low (<8%),"home_ownership_RENT, term_ 36 months, grade_A",0.052,0.31,5.142
int_rate_bin_Very Low (<8%),"home_ownership_RENT, grade_A",0.054,0.319,5.122
"term_ 36 months, int_rate_bin_High (16-20%)",grade_D,0.065,0.721,5.024
grade_D,"term_ 36 months, int_rate_bin_High (16-20%)",0.065,0.455,5.024
grade_D,"last_fico_range_low_bin_Low, int_rate_bin_High (16-20%)",0.059,0.408,4.898
"last_fico_range_low_bin_Low, int_rate_bin_High (16-20%)",grade_D,0.059,0.703,4.898
"int_rate_bin_High (16-20%), fico_range_low_bin_Low",grade_D,0.064,0.702,4.889
grade_D,"int_rate_bin_High (16-20%), fico_range_low_bin_Low",0.064,0.449,4.889
"term_ 36 months, grade_D",int_rate_bin_High (16-20%),0.065,0.802,4.846
int_rate_bin_High (16-20%),"term_ 36 months, grade_D",0.065,0.395,4.846
"grade_D, last_fico_range_low_bin_Low",int_rate_bin_High (16-20%),0.059,0.796,4.814
int_rate_bin_High (16-20%),"grade_D, last_fico_range_low_bin_Low",0.059,0.354,4.814
"home_ownership_MORTGAGE, grade_D",int_rate_bin_High (16-20%),0.051,0.795,4.805
int_rate_bin_High (16-20%),"home_ownership_MORTGAGE, grade_D",0.051,0.31,4.805
int_rate_bin_High (16-20%),"grade_D, fico_range_low_bin_Low",0.064,0.39,4.79
"grade_D, fico_range_low_bin_Low",int_rate_bin_High (16-20%),0.064,0.793,4.79
int_rate_bin_High (16-20%),grade_D,0.114,0.687,4.787
grade_D,int_rate_bin_High (16-20%),0.114,0.792,4.787
grade_D,"home_ownership_MORTGAGE, int_rate_bin_High (16-20%)",0.051,0.357,4.735
"last_fico_range_low_bin_High, int_rate_bin_Low (8-12%)","grade_B, fico_range_low_bin_High",0.052,0.463,4.636
"grade_B, fico_range_low_bin_High","last_fico_range_low_bin_High, int_rate_bin_Low (8-12%)",0.052,0.522,4.636
"grade_B, last_fico_range_low_bin_High","fico_range_low_bin_High, int_rate_bin_Low (8-12%)",0.052,0.48,4.509
