,antecedents,consequents,support,confidence,lift
1130,"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High, home_ownership_MORTGAGE",grade_A,0.051,0.7,3.657
501,"term_ 36 months, home_ownership_MORTGAGE, grade_A",fico_range_low_bin_High,0.07,0.699,2.199
477,"term_ 36 months, loan_status_Current, grade_A",fico_range_low_bin_High,0.055,0.696,2.188
426,"term_ 36 months, grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.111,0.695,2.185
331,"term_ 36 months, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.111,0.694,2.184
429,"term_ 36 months, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, grade_A",0.111,0.694,5.285
890,"grade_C, installment_bin_Low","term_ 36 months, int_rate_bin_Medium (12-16%)",0.07,0.693,3.571
572,"loan_status_Fully Paid, grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.06,0.691,2.174
349,"loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.06,0.69,2.171
577,"loan_status_Fully Paid, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, grade_A",0.06,0.69,5.254
521,"dti_bin_Low (10-20), grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.053,0.688,2.165
339,"dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.053,0.688,2.163
1105,"fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months",0.081,0.687,2.848
528,"dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, grade_A",0.053,0.687,5.233
1030,"term_ 36 months, loan_status_Fully Paid, grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.058,0.687,2.162
984,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months",0.081,0.687,2.847
1119,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months, grade_A",0.081,0.687,6.147
28,int_rate_bin_High (16-20%),grade_D,0.114,0.687,4.787
955,"term_ 36 months, loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.058,0.686,2.16
1040,"term_ 36 months, loan_status_Fully Paid, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, grade_A",0.058,0.686,5.226
3,grade_A,fico_range_low_bin_High,0.131,0.686,2.157
737,"installment_bin_Medium, int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.069,0.683,2.886
1115,"last_fico_range_low_bin_High, grade_A","term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.081,0.681,6.104
1004,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, loan_status_Current",fico_range_low_bin_High,0.051,0.68,2.138
316,"home_ownership_MORTGAGE, int_rate_bin_High (16-20%)",grade_D,0.051,0.679,4.735
736,"installment_bin_Medium, grade_B","term_ 36 months, int_rate_bin_Low (8-12%)",0.069,0.679,2.846
57,"term_ 36 months, grade_A",fico_range_low_bin_High,0.123,0.678,2.134
1158,"fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.051,0.678,6.289
891,"int_rate_bin_Medium (12-16%), installment_bin_Low","term_ 36 months, grade_C",0.07,0.677,3.646
115,"loan_status_Fully Paid, grade_A",fico_range_low_bin_High,0.066,0.676,2.128
516,"fico_range_low_bin_High, grade_A","last_fico_range_low_bin_High, term_ 36 months",0.089,0.675,2.795
1132,"fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A","last_fico_range_low_bin_High, term_ 36 months",0.051,0.674,2.793
1033,"loan_status_Fully Paid, grade_A, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High",0.058,0.673,3.006
959,"loan_status_Fully Paid, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High",0.058,0.672,3.001
1047,"loan_status_Fully Paid, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High, grade_A",0.058,0.671,5.468
489,"term_ 36 months, loan_status_Fully Paid, grade_A",fico_range_low_bin_High,0.064,0.671,2.112
104,"dti_bin_Low (10-20), grade_A",fico_range_low_bin_High,0.059,0.671,2.112
666,"grade_B, home_ownership_MORTGAGE","term_ 36 months, int_rate_bin_Low (8-12%)",0.098,0.671,2.814
1079,"home_ownership_MORTGAGE, grade_A, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High",0.064,0.671,2.997
973,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High",0.064,0.67,2.994
1092,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High, grade_A",0.064,0.67,5.455
667,"home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.098,0.666,2.816
841,"loan_status_Fully Paid, grade_C","term_ 36 months, int_rate_bin_Medium (12-16%)",0.087,0.665,3.428
538,"loan_status_Current, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A",0.05,0.664,5.556
464,"term_ 36 months, dti_bin_Low (10-20), grade_A",fico_range_low_bin_High,0.055,0.663,2.087
1109,"term_ 36 months, fico_range_low_bin_High, grade_A","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.081,0.663,6.155
611,"fico_range_low_bin_High, grade_A","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.087,0.662,6.147
650,"grade_B, loan_status_Current","term_ 36 months, int_rate_bin_Low (8-12%)",0.077,0.662,2.776
432,"grade_A, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High",0.111,0.66,2.952
333,int_rate_bin_Very Low (<8%),"term_ 36 months, fico_range_low_bin_High",0.111,0.659,2.947
